id_funcionario,id_loja,nome_funcionario,passaporte_funcionario,situacao_funcionario,cargo_funcionario,salario_funcionario
1,43,"Garcia, Jacob",Q1JHTHX7J,CONTRATADO,VENDEDOR,3.044510274957741e-5
2,68,"Olague, Jesus",IWU3Z8I09,CONTRATADO,VENDEDOR,2.1205404978245497e-4
3,19,"Valdespino, Jose",CY0FVUFZR,CONTRATADO,GERENTE,1.1706465774707382e-4
4,82,"Gomez, Michelle",03ADLSCAM,DESLIGADO,GERENTE,5.467200835342616e-5
5,71,"Gomez, Joel",QMKN9NS5C,PESSOA JURIDICA,VENDEDOR,7.157089473963128e-5
6,34,"Amaya, Maytee",SPQ4T0T2Y,PESSOA JURIDICA,VENDEDOR,1.0527313128113747e-5
7,19,"Gonzales, Joseph",3EIPB9YOB,CONTRATADO,VENDEDOR,4.2460868135094645e-5
8,79,"Trujillo, Angelica",PL38VWBP1,PESSOA JURIDICA,VENDEDOR,1.7981880633721867e-4
9,82,"Luna, William",WHWDV6YSK,CONTRATADO,VENDEDOR,1.1783959154423461e-4
10,17,"Venegas Miranda, Mikiella",VAA6UKGSS,CONTRATADO,VENDEDOR,4.5817596016634e-4
11,21,"Gallegos, Andrew",OXIMJZ7QR,CONTRATADO,GERENTE,4.726861085574676e-4
12,30,"Mondragon, Jose",RM1UFYSMG,CONTRATADO,VENDEDOR,4.209733802657176e-4
13,10,"Gamez, Alondra",N9LBFS332,CONTRATADO,VENDEDOR,1.78971234358438e-4
14,17,"Rael, Dagoberto",YG6T63KAX,PESSOA JURIDICA,VENDEDOR,0.0014670426330620294
15,79,"Valdez, Natalia",F07LVQTLC,CONTRATADO,VENDEDOR,0.0014036237207140894
16,46,"Saucedo-Castorena, Alyssa",TFTGONQZ5,CONTRATADO,GERENTE,3.514873593877437e-4
17,63,"Quintana, Matthew",NHS1EZEJS,PESSOA JURIDICA,GERENTE,5.692330166361429e-4
18,47,"Lopez-Ortiz, Ana",O10ACWKR5,CONTRATADO,VENDEDOR,9.06967258515373e-5
19,79,"Bock-Bernardi, Christopher",MPNSK6OBA,CONTRATADO,GERENTE,5.478627048264791e-4
20,19,"Shandy, Clarissa",4O778QBEF,CONTRATADO,VENDEDOR,1.559977049008012e-4
21,85,"Romero, Jason",0CUE309VT,CONTRATADO,VENDEDOR,2.981352727692176e-4
22,96,"Carbajal Cruz, Nicholas",E2KAWX6V5,CONTRATADO,GERENTE,2.9122820124247124e-4
23,75,"Talamantez, Ivan",M2KKJUFGP,CONTRATADO,GERENTE,1.686327375471592e-4
24,61,"Lewis, Irvin",HC9DUKQHZ,CONTRATADO,VENDEDOR,4.105715051125337e-4
25,6,"Barrera, Victoria",M8CHIYNBL,CONTRATADO,VENDEDOR,2.2031683772802353e-4
26,22,"Rodriguez, Guillermo",7ED9FGO87,CONTRATADO,VENDEDOR,3.5021861454654225e-4
